rank_by_estimated_users,rank_by_ai_share,rank_by_h1_to_h2_change,rank_by_h2_to_q1_change,rank_by_readiness,rank_by_access_headroom,rank_by_positive_diffusion_gap,rank_by_negative_diffusion_gap,country,microsoft_economy,code,region,income_group,ai_share_h1_2025_pct,ai_share_h2_2025_pct,ai_share_q1_2026_pct,h1_to_h2_change_pp,h2_to_q1_change_pp,h1_to_q1_change_pp,h1_to_h2_growth_pct,h2_to_q1_growth_pct,h1_to_q1_growth_pct,working_age_population_2025,working_age_population_2026,estimated_ai_users_h1_2025,estimated_ai_users_h2_2025,estimated_ai_users_q1_2026,estimated_user_change_h1_to_h2,estimated_user_change_h2_to_q1,estimated_user_change_h1_to_q1,internet_user_pct,internet_year,electricity_access_pct,electricity_year,gdp_per_capita_usd,gdp_year,gdp_readiness_score,readiness_score,access_ceiling_pct,access_headroom_users,internet_normalised_ai_intensity_pct,modelled_ai_share_q1_2026_pct,modelled_ai_users_q1_2026,diffusion_gap_pp,modelled_user_gap_q1_2026,offline_working_age_population,source_url
37,81,88,85,79,28,102,44,Algeria,Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,11.3,12.0,13.2,0.6999999999999993,1.2,1.8999999999999986,6.194690265486719,9.999999999999993,16.814159292035384,30011641,30503729,3391315,3601397,4026492,210082,425095,635177,77.4178009,2024,100.0,2023,5752.99076651465,2024,45.49577839256497,76.678946173513,77.4178009,19588824,17.050342229496213,15.154613850025816,4622722,-1.954613850025817,-596230,6888413,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
38,68,54,66,69,34,101,45,Peru,Peru,PER,Latin America & Caribbean,Upper middle income,13.4,14.7,16.4,1.299999999999999,1.7,2.9999999999999982,9.701492537313424,11.564625850340132,22.388059701492523,23138489,23405194,3100558,3401358,3838452,300800,437094,737894,81.95705992,2024,96.2,2023,8452.37167056621,2024,50.85431189321914,79.29724533464383,81.95705992,15343757,20.01047867750305,18.218542497368713,4264085,-1.818542497368714,-425633,4222985,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
39,113,89,100,106,38,55,91,Myanmar,Myanmar,MMR,East Asia & Pacific,Lower middle income,8.4,9.1,10.0,0.6999999999999993,0.9,1.5999999999999996,8.333333333333325,9.890109890109894,19.047619047619044,37517373,37744987,3151459,3414081,3774499,262622,360418,623040,45.4477005,2020,76.8,2023,1359.05001560107,2024,25.398396875690537,49.27591465013811,45.4477005,13379730,22.00331345697017,8.742086596403137,3299699,1.2579134035968629,474800,20590758,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
40,86,70,76,72,26,117,29,Iraq,Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,10.3,11.2,12.5,0.8999999999999986,1.3,2.1999999999999993,8.737864077669888,11.607142857142865,21.359223300970864,28458769,29334896,2931253,3187382,3666862,256129,479480,735609,81.47450256,2024,100.0,2023,6073.61032342708,2024,46.251148026259735,79.06120601325196,81.47450256,20233599,15.3422231584595,15.818640609565026,4640382,-3.3186406095650263,-973520,5434435,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
41,120,142,137,114,44,89,57,Kenya,Kenya,KEN,Sub-Saharan Africa,Lower middle income,7.8,8.1,8.7,0.2999999999999998,0.6,0.8999999999999995,3.8461538461538445,7.407407407407403,11.538461538461533,34934454,35879215,2724887,2829691,3121492,104804,291801,396605,34.97622513,2024,76.2,2023,2132.43452097647,2024,31.67272122865161,44.621468067230325,34.97622513,9427703,24.87403934433675,9.709804290439566,3483802,-1.0098042904395665,-362310,23330020,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
42,47,57,59,25,42,92,54,Chile,Chile,CHL,Latin America & Caribbean,High income,19.6,20.8,22.7,1.1999999999999993,1.9,3.099999999999998,6.122448979591832,9.134615384615378,15.816326530612232,13676183,13727011,2680532,2844646,3116031,164114,271385,435499,95.590243,2024,100.0,2023,16709.8893972307,2024,60.34708463611869,89.64405057722374,95.590243,10005652,23.747193528946255,23.89803071560726,3280485,-1.1980307156072598,-164454,605328,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
43,131,128,112,124,45,100,46,Tanzania,Tanzania,TZA,Sub-Saharan Africa,Lower middle income,6.4,6.8,7.6,0.39999999999999947,0.8,1.1999999999999993,6.249999999999992,11.764705882352938,18.74999999999999,38530554,39776409,2465955,2620078,3023007,154123,402929,557052,31.16209984,2024,48.3,2023,1186.71691894531,2024,23.509806448318393,33.916116201663684,31.16209984,9372157,24.38860038001855,9.405309122491868,3741094,-1.8053091224918685,-718087,27381245,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
44,90,126,113,55,25,114,32,Morocco,Morocco,MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,10.5,10.9,11.7,0.40000000000000036,0.8,1.1999999999999993,3.809523809523813,7.339449541284393,11.428571428571422,25498902,25766353,2677385,2779380,3014663,101995,235283,337278,91.2,2024,100.0,2023,4153.1943359375,2024,40.95740499009509,83.35148099801903,91.2,20484251,12.828947368421051,14.692914575684183,3785828,-2.9929145756841837,-771165,2267439,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
45,12,10,13,13,66,25,121,Belgium,Belgium,BEL,Europe & Central Asia,High income,33.5,36.0,39.0,2.5,3.0,5.5,7.462686567164178,8.333333333333332,16.417910447761194,7447341,7443103,2494859,2681043,2902810,186184,221767,407951,95.77579144,2024,100.0,2023,56614.5679499036,2024,77.34311149041663,93.14530759008333,95.77579144,4225881,40.72010203583863,34.128261487814186,2540202,4.871738512185814,362608,314412,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
46,76,90,86,104,54,17,129,Nepal,Nepal,NPL,South Asia,Lower middle income,12.3,13.0,14.2,0.6999999999999993,1.2,1.8999999999999986,5.6910569105691,9.230769230769226,15.447154471544703,19347694,19433682,2379766,2515200,2759583,135434,244383,379817,46.32189941,2024,94.0,2023,1447.31004458428,2024,26.274765770888454,54.231997829677695,46.32189941,6242468,30.655046923517332,7.897682183266714,1534810,6.302317816733285,1224773,10431631,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
